"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"606",2010-01-29,"Edge of Darkness",60000000,43313890,82812456,"Warner Bros","R","Drama"
"607",2002-12-13,"Star Trek: Nemesis",60000000,43254409,67312826,"Paramount Pictures","PG-13","Adventure"
"608",2002-02-19,"Reign of Fire",60000000,43061982,82150183,"Walt Disney","PG-13","Action"
"609",2009-11-20,"Planet 51",60000000,42194060,108996113,"Sony Pictures","PG","Adventure"
"610",2009-12-11,"Invictus",60000000,37491364,124514011,"Warner Bros","PG-13","Drama"
"611",1999-02-12,"My Favorite Martian",60000000,36850101,36850101,"Walt Disney","PG","Comedy"
"612",2012-09-21,"Trouble with the Curve",60000000,35763137,47818913,"Warner Bros","PG-13","Drama"
"613",1997-01-10,"The Relic",60000000,33956608,33956608,"Paramount Pictures","R","Horror"
"614",2000-09-15,"Almost Famous",60000000,32522352,47371191,"Dreamworks SKG","R","Comedy"
"615",2002-12-06,"Analyze That",60000000,32122249,54994757,"Warner Bros","R","Comedy"
"616",2009-04-24,"The Soloist",60000000,31853584,38522450,"Paramount Pictures","PG-13","Drama"
"617",2000-11-03,"The Legend of Bagger Vance",60000000,30695227,39235486,"Dreamworks SKG","PG-13","Drama"
"618",2002-02-22,"Dragonfly",60000000,30063805,30063805,"Universal","PG-13","Drama"
"619",2018-10-12,"First Man",60000000,30000050,55500050,"Universal","PG-13","Drama"
"620",2006-06-16,"Garfield: A Tail of Two Kitties",60000000,28426747,147985373,"20th Century Fox","PG","Adventure"
"621",2005-04-29,"XXX: State of the Union",60000000,26873932,71073932,"Sony Pictures","PG-13","Action"
"622",1997-08-15,"Event Horizon",60000000,26673242,26673242,"Paramount Pictures","R","Horror"
"623",2003-07-02,"Sinbad: Legend of the Seven Seas",60000000,26483452,80767884,"Dreamworks SKG","PG","Adventure"
"624",1999-03-26,"EDtv",60000000,22508689,35319689,"Universal","PG-13","Comedy"
"625",2008-12-25,"The Spirit",60000000,19806188,39006188,"Lionsgate","PG-13","Action"
"626",2001-10-19,"The Last Castle",60000000,18208078,20541668,"Dreamworks SKG","R","Drama"
"627",2009-01-23,"Inkheart",60000000,17303424,66655938,"Warner Bros","PG","Adventure"
"628",2000-01-14,"Supernova",60000000,14218868,14816494,"MGM","PG-13","Action"
"629",2006-09-22,"Flyboys",60000000,13090630,14816379,"MGM","PG-13","Drama"
"630",2014-02-14,"Winter's Tale",60000000,12600231,22468620,"Warner Bros","PG-13","Drama"
"631",1998-10-09,"Holy Man",60000000,12069719,12069719,"Walt Disney","PG","Comedy"
"632",2008-07-11,"Meet Dave",60000000,11803254,50648806,"20th Century Fox","PG","Adventure"
"633",2005-08-12,"The Great Raid",60000000,10166502,10597070,"Miramax","R","Action"
"634",2017-02-24,"Rock Dog",60000000,9420546,24152192,"Lionsgate","PG","Adventure"
"635",2015-01-23,"Mortdecai",60000000,7696134,30396134,"Lionsgate","R","Adventure"
"636",2003-10-24,"Beyond Borders",60000000,4426297,11427090,"Paramount Pictures","R","Drama"
"637",2018-03-23,"Sherlock Gnomes",59000000,43242871,87750965,"Paramount Pictures","PG","Adventure"
"638",2016-02-12,"Deadpool",58000000,363070709,801029249,"20th Century Fox","R","Action"
"639",2014-12-25,"American Sniper",58000000,350126372,547326372,"Warner Bros","R","Drama"
"640",2015-10-16,"Goosebumps",58000000,80069458,158905324,"Sony Pictures","PG","Horror"
"641",1988-05-25,"Rambo III",58000000,53715611,188715611,"Sony TriStar","R","Action"
"642",2012-01-20,"Red Tails",58000000,49876377,50365498,"20th Century Fox","PG-13","Action"
"643",2013-06-07,"The Internship",58000000,44672764,93672764,"20th Century Fox","PG-13","Comedy"
"644",2000-04-28,"The Flintstones in Viva Rock Vegas",58000000,35231365,59431365,"Universal","PG","Adventure"
"645",2008-05-30,"Sex and the City",57500000,152647258,415247258,"Warner Bros","R","Comedy"
"646",2010-09-10,"Resident Evil: Afterlife",57500000,60128566,295874190,"Sony Pictures","R","Horror"
"647",2012-06-15,"That's My Boy",57500000,36931089,58085235,"Sony Pictures","R","Comedy"
"648",1997-10-17,"Devil's Advocate",57000000,61007424,153007424,"Warner Bros","R","Drama"
"649",2012-02-17,"Ghost Rider: Spirit of Vengeance",57000000,51774002,149217355,"Sony Pictures","PG-13","Action"
"650",1996-05-31,"Dragonheart",57000000,51364680,104364680,"Universal","PG-13","Adventure"
